Agricultural Inspector,AG01000001,4.1.2.0
Agricultural/Food Inspector,AG01000001,4.1.2.0
Botanist,AG01000002,1.2.3.2
Farm Equipment Mechanic,AG01000003,4.3.16.0
Nursery/Greenhouse Manager,AG01000004,1.1.1.23
Soil Conservationist,AG01000005,1.2.3.3
Soil Scientist,AG01000006,1.2.3.8
Ranch Manager,AG01000007,1.1.1.14
Forest Aide,AG01000008,4.1.8.0
Forest Technician,AG01000008,4.1.8.0
Actor/Actress,AR17000001,1.2.7.3
Actor/Performer,AR17000001,1.2.7.3
Performer,AR17000001,1.2.7.3
Choreographer,AR17000002,1.2.7.6
"Director, dance",AR17000002,1.2.7.6
Forest & Conservation Worker,AR17000003,1.2.3.3
Forest and Conservation Worker,AR17000003,1.2.3.3
Forester,AR17000004,1.2.3.3
Horse Exerciser,AR17000006,2.5.3.0
Horse Rider/Exerciser,AR17000006,2.5.3.0
Rider/Exerciser (Horse),AR17000006,2.5.3.0
Museum Research Worker,AR17000007,1.2.6.7
Researcher (Museum),AR17000007,1.2.6.7
Park Naturalist,AR17000008,1.2.3.3
Scenic Designer,AR17000009,1.2.7.2
Set Designer,AR17000009,1.2.7.2
Theatrical-Scenic Designer,AR17000009,1.2.7.2
Ticket Taker/Usher,AR17000010,2.5.7.0
Usher/Ticket Taker,AR17000010,2.5.7.0
Coach/Scout,AR17000011,1.2.7.5
Scout/Coach,AR17000011,1.2.7.5
Art Conservation Technician,AR17000012,1.2.6.7
Conservation Technician,AR17000012,1.2.6.7
Archivists,AR17000013,1.2.6.7
Professional Athlete,AR17000014,1.2.7.5
Stage Manager,AR17000015,1.2.7.4
Technical Director,AR17000015,1.2.7.4
Technical Director - Arts and Entertainment,AR17000015,1.2.7.4
Casting Director,AR17000016,1.2.7.4
Talent Director,AR17000016,1.2.7.4
Talent/Casting Director,AR17000016,1.2.7.4
Keyboard Instrument Repairer & Tuner,AR17000017,1.2.7.16
Keyboard Instrument Repairer and Tuner,AR17000017,1.2.7.16
Keyboard Repair / Piano Tuner,AR17000017,1.2.7.16
Director of Fundraising,AR17000018,1.1.1.27
Fundraising Director,AR17000018,1.1.1.27
Amusement Entertainer,AR17000019,1.2.7.1
"Director - Stage, Motion Pictures, Television",AR17000020,1.2.7.4
"Directors- Stage, Motion Pictures, Television",AR17000020,1.2.7.4
